year,country,rpp_value,cgdp_value,cr_value,spr_value,rpp_value_trend,rpp_value_cycle,rpp_value_cycle_normalized,cgdp_value_trend,cgdp_value_cycle,cgdp_value_cycle_normalized,cr_value_trend,cr_value_cycle,cr_value_cycle_normalized,spr_value_trend,spr_value_cycle,spr_value_cycle_normalized,pca_weighted_mean,turning_point,value
1983,Netherlands,37.165,153.1,26.871283,33.22708,49.65035710558516,-12.485357105585159,-3.2993133528162684,154.2742558411833,-1.1742558411833102,0.1539113246284494,31.206239081505313,-4.3349560815053145,-0.40768521041916284,52.194209026714155,-18.967129026714154,-0.7826754288206988,-2.1850453427697056,,0.0
1984,Netherlands,36.0535,153.8,27.336484,37.904826,51.22250880750704,-15.16900880750704,-4.008480725409733,159.53163412204395,-5.731634122043943,0.7512531503530248,33.644574541822635,-6.3080905418226365,-0.5932505823664685,54.63636212045819,-16.731536120458188,-0.690424058879155,-2.5117539636021093,,0.0
1985,Netherlands,35.7911,153.4,27.856126,44.799332,52.79684856042223,-17.005748560422226,-4.493847698992785,164.78723232750062,-11.387232327500612,1.4925401687688282,36.0844756457785,-8.228349645778497,-0.7738432393937364,57.079367808367,-12.280035808367003,-0.5067336379011405,-2.6511303909801933,,0.0
1986,Netherlands,37.9731,161.0,30.164805,46.32249,54.37357648765554,-16.40047648765554,-4.333901754725593,170.04092074733038,-9.040920747330375,1.1850058899261844,38.52606549881279,-8.36126049881279,-0.7863429713558328,59.52297408105095,-13.200484081050945,-0.5447157829856978,-2.6263105783886624,,0.0
1987,Netherlands,39.7187,168.7,32.318055,38.174131,55.95285019816039,-16.234150198160393,-4.2899492635621455,175.29254120322952,-6.59254120322953,0.8640934229751823,40.96944663549131,-8.651391635491308,-0.8136286396029858,61.96689822903083,-23.79276722903083,-0.9818045876940414,-2.6863046255427037,,0.0
1988,Netherlands,41.5381,181.5,36.024906,49.79943,57.53478629969895,-15.99668629969895,-4.22719833025843,180.54191291459244,0.9580870854075556,-0.1255777891433691,43.41470068722858,-7.38979468722858,-0.694980513152288,64.41082454161725,-14.611394541617244,-0.6029367687867652,-2.8919974105964736,,0.0
1989,Netherlands,43.7873,185.8,38.626482,55.929439,59.11946081465791,-15.332160814657911,-4.0515943977844575,185.78883861946062,0.01116138053939153,-0.0014629374649470243,45.861887656960064,-7.2354056569600615,-0.6804608448769927,66.85437782620274,-10.924938826202734,-0.45081578601563604,-2.740725462929552,,0.0
1990,Netherlands,42.1424,194.6,41.782702,46.225915,60.70690977370824,-18.564509773708238,-4.905757557986409,191.0331234510931,3.5668765489068903,-0.46751540437320366,48.31104907313449,-6.528347073134491,-0.6139648245930903,69.29714636169348,-23.071231361693478,-0.9520305299764824,-3.4295246025200874,trough,-3.4295246025200874
1991,Netherlands,43.4062,197.7,43.477524,53.6621,62.29713087711887,-18.89093087711887,-4.992015844074353,196.27457257065265,1.4254274293473372,-0.1868327293918275,50.76220837568649,-7.2846843756864885,-0.6850953104714386,71.73869111464863,-18.07659111464863,-0.7459275297989078,-3.416573519321884,,0.0
1992,Netherlands,45.9171,205.3,45.551534,52.372845,63.890075413884304,-17.972975413884306,-4.749441867893438,201.5130000564933,3.7869999435067143,-0.4963672797962197,53.21537268368299,-7.663838683682997,-0.7207532504668103,74.17851537354895,-21.80567037354895,-0.8998073660121487,-3.3398785322319897,,0.0
1993,Netherlands,48.8589,208.6,46.423495,73.338998,65.48564744567189,-16.62674744567189,-4.393694901755718,206.74822355053772,1.8517764494622782,-0.2427148805709147,55.67053090448,-9.24703590448,-0.8696465910128417,76.6160772353974,-3.2770792353973945,-0.13522813032122882,-3.0409289516928624,,0.0
1994,Netherlands,51.2416,214.8,48.872009,67.979929,67.08370610171043,-15.842106101710435,-4.186349798094592,211.9800701622085,2.8199298377915056,-0.3696120738530143,58.12765278583684,-9.255643785836838,-0.8704561276854732,79.05078028302107,-11.07085128302107,-0.45683683930998153,-2.9390216325924574,,0.0
1995,Netherlands,53.8836,213.1,50.156466,80.394909,68.68406894436009,-14.800468944360091,-3.9110923622861913,217.20837163036933,-4.108371630369334,0.5384899078371932,60.58668495792303,-10.430218957923032,-0.9809202055634666,81.48201990654889,-1.0871109065488866,-0.04485945098809768,-2.523033371783995,,0.0
1996,Netherlands,58.8559,221.9,53.446401,107.12694,70.28651393071577,-11.430613930715772,-3.020592591270594,222.43296674370828,-0.5329667437082719,0.06985668253043502,63.04755091179862,-9.601149911798622,-0.9029495912905131,83.90916381898154,23.217776181018465,0.9580776776046285,-2.040392902701589,,0.0
1997,Netherlands,63.7583,227.6,57.555992,143.88077,71.8907820167,-8.132482016700003,-2.149045981010325,227.6536840199844,-0.05368401998441641,0.007036438174201791,65.51014806297626,-7.954156062976253,-0.7480564340839351,86.3315770155425,57.549192984457505,2.37475788950219,-1.4558825626408711,,0.0
1998,Netherlands,69.6304,240.1,63.583388,165.49689,73.49658558170049,-3.866185581700492,-1.021657418870626,232.87035064453997,7.229649355460026,-0.9476000628421514,67.97434982409379,-4.390961824093793,-0.41295232559231976,88.74868253589567,76.74820746410434,3.167002033021658,-0.9274205614428448,,0.0
1999,Netherlands,80.9222,253.8,69.939716,202.36177,75.10361667389986,5.818583326100139,1.537587551555783,238.08279366850707,15.717206331492946,-2.0600758038393256,70.44000972239894,-0.5002937223989363,-0.04705061542786625,91.16004729268737,111.20172270731264,4.588720616755576,0.5182343057210046,,0.0
2000,Netherlands,90.6847,260.4,75.530022,193.99212,76.71155767601684,13.973142323983168,3.692467476937187,243.2908582171412,17.109141782858785,-2.2425186937134165,72.90697030773487,2.623051692265136,0.24668747756496553,93.5654300690826,100.4266899309174,4.144090678985642,1.9179208856976122,,0.0
2001,Netherlands,94.9561,257.1,76.454923,144.93141,78.32010551722847,16.635994482771537,4.39613847407158,248.49442870871383,8.605571291286196,-1.1279440392578388,75.3750728792104,1.0798501207895868,0.10155556721635528,95.96486765255318,48.96654234744682,2.0205962365562193,2.6492303297520174,,0.0
